Nom du Langage,Open Source,Orienté Objet,Fonctionnel,Impératif,Script,Déclaratif,Populaire,Script pour Web,Langage de Système,Langage de Calcul Scientifique,Langage de BDD,Langage de Description Matérielle,Langage de Programmation Logique
Python,1,1,0,0,1,0,1,0,0,0,0,0,0
Java,1,1,0,1,0,0,1,0,0,0,0,0,0
C++,1,1,0,1,0,0,0,0,1,0,0,0,0
JavaScript,1,0,0,0,1,0,1,0,0,0,0,0,0
C#,0,1,0,1,0,0,0,0,0,0,0,0,0
Ruby,1,1,0,0,1,0,0,0,0,0,0,0,0
Swift,1,1,0,1,0,0,0,0,0,0,0,0,0
Go,1,0,0,1,0,0,1,0,1,0,0,0,0
PHP,1,1,0,1,0,0,1,1,0,0,0,0,0
TypeScript,1,1,0,1,0,0,1,0,0,0,0,0,0
Rust,1,1,0,1,0,0,0,0,1,0,0,0,0
Kotlin,1,1,0,0,0,0,0,0,0,0,0,0,0
Perl,1,1,0,1,1,0,0,0,0,0,0,0,0
HTML/CSS,0,0,0,0,1,0,0,0,0,0,0,0,0
SQL,0,0,0,0,0,1,0,0,0,0,1,0,0
MATLAB,0,0,0,1,0,0,0,0,0,1,0,0,0
R,1,0,0,0,0,0,0,0,0,0,0,0,0
Dart,1,0,0,0,1,0,0,0,0,0,0,0,0
Lua,1,0,0,1,1,0,0,0,0,0,0,0,0
Haskell,1,0,1,0,0,0,0,0,0,0,0,0,0
Objective-C,0,1,0,1,0,0,0,0,0,0,0,0,0
Groovy,1,1,1,1,1,0,1,0,0,0,0,0,0
Shell (Bash),1,0,0,1,1,0,1,0,0,0,0,0,0
COBOL,0,0,0,1,1,0,0,0,0,0,0,0,0
Fortran,1,0,0,1,0,0,1,0,0,0,0,0,0
Lisp,1,0,1,1,0,0,1,0,0,0,0,0,1
Ada,0,0,0,1,0,0,1,0,0,0,0,0,0
Prolog,1,0,0,1,0,1,1,0,0,0,0,0,1
VHDL,0,0,0,0,0,1,0,0,0,0,0,1,0
Julia,1,0,0,1,0,0,0,0,0,0,0,0,0
Clojure,1,0,1,1,1,0,1,0,0,0,0,0,0
Assembly,0,0,0,1,0,0,1,0,1,0,0,0,0
Erlang,1,0,0,1,0,0,0,0,0,0,0,0,0
Tcl,1,0,0,1,1,0,0,0,0,0,0,0,0
F#,1,1,1,1,0,0,0,0,0,0,0,0,0
PL/SQL,0,0,0,1,1,0,,0,0,0,0,0,0
D,1,0,0,1,0,0,1,0,1,0,0,0,0
Scheme,1,0,1,1,0,0,1,0,0,0,0,0,0
ActionScript,0,1,0,0,1,0,0,0,0,0,0,0,0
Dart,1,0,0,0,1,0,0,0,0,0,0,0,0
Perl,1,1,0,1,1,0,1,0,0,0,0,0,0
Smalltalk,1,1,0,1,0,0,0,0,0,0,0,0,0
Delphi/Object Pascal,0,1,0,1,0,0,0,0,0,0,0,0,0
COOL,0,0,0,0,0,0,0,0,0,0,0,0,0
ABAP,0,0,0,1,1,0,0,0,0,0,0,0,0
FoxPro,0,1,0,1,0,0,1,0,0,0,0,0,0
VHDL,0,0,0,0,0,1,0,0,0,0,0,1,0
Objective-J,1,1,0,0,1,0,0,0,0,0,0,0,0
